コード,銘柄名,業種33,規模,候補
2326,デジタルアーツ,情報・通信業,TOPIX Small 1,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6543,日宣,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
2986,ＬＡホールディングス,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
3690,イルグルム,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
3457,Ａｎｄ　Ｄｏホールディングス,不動産業,TOPIX Small 2,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
4057,インターファクトリー,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
8060,キヤノンマーケティングジャパン,卸売業,TOPIX Mid400,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6045,レントラックス,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3652,ディジタルメディアプロフェッショナル,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
1975,朝日工業社,建設業,TOPIX Small 1,ゼネコン・総合建設 / 設備工事・専門工事
2674,ハードオフコーポレーション,小売業,TOPIX Small 2,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
2303,ドーン,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6317,北川鉄工所,機械,TOPIX Small 2,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
6144,西部電機,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
2586,フルッタフルッタ,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
3771,システムリサーチ,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
2109,ＤＭ三井製糖,食料品,TOPIX Small 1,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
7353,ＫＩＹＯラーニング,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
1959,クラフティア,建設業,TOPIX Mid400,ゼネコン・総合建設 / 設備工事・専門工事
2782,セリア,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
6302,住友重機械工業,機械,TOPIX Mid400,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
6951,日本電子,電気機器,TOPIX Mid400,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6807,日本航空電子工業,電気機器,TOPIX Small 1,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
9746,ＴＫＣ,情報・通信業,TOPIX Small 1,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
3985,テモナ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4389,プロパティデータバンク,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
9416,ビジョン,情報・通信業,TOPIX Small 1,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6768,タムラ製作所,電気機器,TOPIX Small 1,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
7373,アイドマ・ホールディングス,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3168,ＭＥＲＦ,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8007,高島,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3024,クリエイト,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7110,クラシコム,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
5621,ヒューマンテクノロジーズ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6402,兼松エンジニアリング,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
4768,大塚商会,情報・通信業,TOPIX Mid400,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6745,ホーチキ,電気機器,TOPIX Small 2,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
7839,ＳＨＯＥＩ,その他製品,TOPIX Small 1,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
2875,東洋水産,食料品,TOPIX Mid400,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
6806,ヒロセ電機,電気機器,TOPIX Mid400,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
3916,デジタル・インフォメーション・テクノロジー,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
7966,リンテック,その他製品,TOPIX Small 1,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
8131,ミツウロコグループホールディングス,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3087,ドトール・日レスホールディングス,小売業,TOPIX Small 1,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
9682,ＤＴＳ,情報・通信業,TOPIX Small 1,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
3566,ユニフォームネクスト,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
3640,電算,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6560,エル・ティー・エス,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
6480,日本トムソン,機械,TOPIX Small 2,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
6638,ミマキエンジニアリング,電気機器,TOPIX Small 2,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6578,コレックホールディングス,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3921,ネオジャパン,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
7064,ハウテレビジョン,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
6492,岡野バルブ製造,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
3776,ブロードバンドタワー,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
2805,ヱスビー食品,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
6465,ホシザキ,機械,TOPIX Mid400,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
6724,セイコーエプソン,電気機器,TOPIX Mid400,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6914,オプテックスグループ,電気機器,TOPIX Small 1,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
3080,ジェーソン,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
7035,ａｎｄ　ｆａｃｔｏｒｙ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3900,クラウドワークス,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
9889,ＪＢＣＣホールディングス,情報・通信業,TOPIX Small 1,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
1944,きんでん,建設業,TOPIX Mid400,ゼネコン・総合建設 / 設備工事・専門工事
8218,コメリ,小売業,TOPIX Small 1,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
2924,イフジ産業,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
9562,ビジネスコーチ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3676,デジタルハーツホールディングス,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
8113,ユニ・チャーム,化学,TOPIX Large70,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
6240,ヤマシンフィルタ,機械,TOPIX Small 2,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
2659,サンエー,小売業,TOPIX Small 1,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
4800,オリコン,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4403,日油,化学,TOPIX Mid400,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
336A,ダイナミックマッププラットフォーム,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
7115,アルファパーチェス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6474,不二越,機械,TOPIX Small 1,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
9644,タナベコンサルティンググループ,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
4187,大阪有機化学工業,化学,TOPIX Small 1,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
6498,キッツ,機械,TOPIX Small 1,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
1429,日本アクア,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
3719,ＡＩストーム,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
7823,アートネイチャー,その他製品,TOPIX Small 2,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
4166,かっこ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
2428,ウェルネット,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
2813,和弘食品,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
6196,ストライクグループ,サービス業,TOPIX Small 1,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
9795,ステップ,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
228A,オプロ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
3360,シップヘルスケアホールディングス,卸売業,TOPIX Mid400,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
4274,細谷火工,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
7792,コラントッテ,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
4174,アピリッツ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
4932,アルマード,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
9962,ミスミグループ本社,卸売業,TOPIX Mid400,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6566,要興業,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
4709,ＩＤホールディングス,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6539,ＭＳ－Ｊａｐａｎ,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
4393,バンク・オブ・イノベーション,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
7619,田中商事,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8153,モスフードサービス,卸売業,TOPIX Small 1,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6577,ベストワンドットコム,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3726,フォーシーズＨＤ,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
4919,ミルボン,化学,TOPIX Small 1,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
150A,ＪＳＨ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
6194,アトラエ,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
4275,カーリット,化学,TOPIX Small 2,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
4967,小林製薬,化学,TOPIX Mid400,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
2991,ランドネット,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
3647,アスリナ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
9824,泉州電業,卸売業,TOPIX Small 1,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
2267,ヤクルト本社,食料品,TOPIX Mid400,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
2304,ＣＳＳホールディングス,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
6651,日東工業,電気機器,TOPIX Small 1,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
151A,ダイブ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
6334,明治機械,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
3901,マークラインズ,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
3928,マイネット,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6988,日東電工,化学,TOPIX Mid400,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
4811,ドリーム・アーツ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
9331,キャスター,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
7094,ＮｅｘＴｏｎｅ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
1848,富士ピー・エス,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
2288,丸大食品,食料品,TOPIX Small 2,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
9237,笑美面,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
250A,シマダヤ,食料品,TOPIX Small 2,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
2146,ＵＴグループ,サービス業,TOPIX Small 1,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
2354,ＹＥ　ＤＩＧＩＴＡＬ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6088,シグマクシス・ホールディングス,サービス業,TOPIX Small 1,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
2753,あみやき亭,小売業,TOPIX Small 2,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
4323,日本システム技術,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
8115,ムーンバット,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7956,ピジョン,その他製品,TOPIX Mid400,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
3922,ＰＲ　ＴＩＭＥＳ,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6841,横河電機,電気機器,TOPIX Mid400,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6454,マックス,機械,TOPIX Small 1,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
2573,北海道コカ・コーラボトリング,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
2929,ファーマフーズ,食料品,TOPIX Small 2,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
2112,塩水港精糖,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
2139,中広,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
